ID,Province,Regency,Category,Name,Price,Rating
1,Sulawesi Tengah,Banggai,Wisata Alam,Danau Paisu Pok Luk Panenteng,10000,4.7
2,Sulawesi Tengah,Banggai,Wisata Alam,Pantai Poganda,3000,4.5
3,Sulawesi Tengah,Banggai,Wisata Alam,Air Terjun Piala,0,4.6
4,Sulawesi Tengah,Banggai,Wisata Alam,Pulau Dua,50000,4.3
5,Sulawesi Tengah,Banggai,Wisata Alam,Air Terjun Salodik,2000,4.5
6,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Pantai Pasir Putih,10000,4.2
7,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Pantai Kelapa Lima,5000,4.5
8,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Lambangan Pauno,3000,4.5
9,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Pantai Oyama,0,4.6
10,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Pantai Bontolan,3000,4.8
11,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Air Terjun Pososlalongo,2000,4.5
12,Sulawesi Tengah,Banggai Kepulauan,Wisata Alam,Pantai Teduang,5000,4.3
13,Sulawesi Tengah,Donggala,Wisata Alam,Pusat Laut Donggala,10000,4.4
14,Sulawesi Tengah,Donggala,Wisata Alam,Pantai kulolu,5000,4.3
15,Sulawesi Tengah,Donggala,Wisata Alam,Pantai Bonebula,2000,4.4
16,Sulawesi Tengah,Donggala,Wisata Alam,Puncak Tosale,0,4.4
17,Sulawesi Tengah,Donggala,Wisata Alam,Pantai Boneoge,2500,4.2
18,Sulawesi Tengah,Morowali,Wisata Alam,Goa Allo,10000,5
19,Sulawesi Tengah,Morowali,Wisata Alam,Goa Berlian,0,5
20,Sulawesi Tengah,Morowali,Wisata Alam,Puncak Kayangan Sombori,0,4.6
21,Sulawesi Tengah,Morowali,Wisata Alam,Pasir Panjang,20000,4
22,Sulawesi Tengah,Morowali,Wisata Alam,Air Terjun Sakita,0,4.4
23,Sulawesi Tengah,Morowali,Wisata Alam,Kepulauan Sombori,0,4.7
24,Sulawesi Tengah,Paringgi Moutong,Sejarah,Tugu Khatulistiwa,0,4.4
25,Sulawesi Tengah,Paringgi Moutong,Sejarah,Istana Raja Moutong,0,4.2
26,Sulawesi Tengah,Paringgi Moutong,Wisata Alam,Pantai Tumpapa,10000,4.1
27,Sulawesi Tengah,Paringgi Moutong,Wisata Alam,Pantai Kucing,5000,4.2
28,Sulawesi Tengah,Poso,Wisata Alam,Pada Marari,6000,4.5
29,Sulawesi Tengah,Poso,Wisata Alam,Goa Pamona,10000,4.3
30,Sulawesi Tengah,Poso,Wisata Alam,Danau Poso,0,4.5
31,Sulawesi Tengah,Poso,Sejarah,Taman Nasional Lore Lindu,10000,4.4
32,Sulawesi Tengah,Tojo Una-Una,Wisata Alam,Tanjung Lawaka Ampana,5000,4.5
33,Sulawesi Tengah,Tojo Una-Una,Wisata Alam,Permandian Malotong,0,4.4
34,Sulawesi Tengah,Tolitoli,Wisata Alam,Pantai Sabang Tende,5000,4.7
35,Sulawesi Tengah,Tolitoli,Wisata Alam,Tanjung Sanjangan,0,4
36,Sulawesi Tengah,Palu,Sejarah,Museum Negeri Palu,3000,4.4
37,Sulawesi Tengah,Palu,Sejarah,Cagar Budaya Banua Oge,5000,4.3
38,Sulawesi Tengah,Palu,Sejarah,Monumen Nosarara Nosabatutu,10000,4.5
39,Sulawesi Tengah,Palu,Wisata Alam,Taman Vatulemo,0,4.4
40,Sulawesi Tengah,Palu,Sejarah,Gong Perdamaian,10000,4.4
41,Sulawesi Tengah,Palu,Religi,masjid Apung Arqam Baburahman,0,4.5
42,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Tebing Apparalang,5000,4.7
43,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Bira Pasir Putih,10000,4.8
44,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Pusahelu,0,4.5
45,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Marumasa,5000,4.4
46,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Tebing Marumasa Kalibata,5000,4.4
47,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Panaikang Birayya,5000,4.4
48,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Kasuso,0,4.4
49,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Lemo-Lemo,0,4.3
50,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Mandala Ria,500,4.4
51,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Samboang,0,4.3
52,Sulawesi Selatan,Bulu Kumba,Wisata Alam,Pantai Ujung Tiro,5000,4.6
53,Sulawesi Selatan,Bulu Kumba,Sejarah,Kawasan Adat Kajang Ammatoa,10000,4.7
54,Sulawesi Selatan,Bantaeng,Wisata Alam,Tribun Pantai Seruni,10000,4.4
55,Sulawesi Selatan,Bantaeng,Wisata Alam,Air Terjun Bissappu,5000,4.5
56,Sulawesi Selatan,Bantaeng,Wisata Alam,Wisata Hutan Pinus Rombeng,5000,4.5
57,Sulawesi Selatan,Jeneponto,Wisata Alam,Air Terjun Tama'lulua,7000,4.5
58,Sulawesi Selatan,Takalar,Wisata Alam,Pantai Puntondo,15000,4.5
59,Sulawesi Selatan,Takalar,Wisata Alam,Pantai Barugaya Punaga,15000,4.4
60,Sulawesi Selatan,Takalar,Wisata Alam,Pantai Bintang Galesong,25000,3.2
61,Sulawesi Selatan,Takalar,Sejarah,Benteng Sanrobone,0,4.4
62,Sulawesi Selatan,Sinjai,Sejarah,Benteng Balangnipa,10000,4.3
63,Sulawesi Selatan,Sinjai,Wisata Alam,Hutan Mangrove Tongke-tongke,5000,4.5
64,Sulawesi Selatan,Sinjai,Sejarah,Taman Purbakala Batu Pake Gojeng,10000,4.4
65,Sulawesi Selatan,Gowa,Wisata Alam,Air Terjun Lembanna,3000,4.6
66,Sulawesi Selatan,Gowa,Wisata Alam,Air Terjun Biroro,5000,4.6
67,Sulawesi Selatan,Gowa,Wisata Alam,Air Terjun Ketemu Jodoh,10000,4.5
68,Sulawesi Selatan,Gowa,Wisata Alam,Air Terjun Takapala,10000,4.5
69,Sulawesi Selatan,Gowa,Wisata Alam,Wisata Malino,5000,4.7
70,Sulawesi Selatan,Gowa,Wisata Alam,Taman Wisata Holyland Malino,25000,4.4
71,Sulawesi Selatan,Gowa,Wisata Alam,Raja Ampat Bollangi Gowa,10000,4.6
72,Sulawesi Selatan,Makasar,Sejarah,Benteng Rotterdam ,5000,4.5
73,Sulawesi Selatan,Makasar,Wisata Alam,Pantai Losari,0,4.5
74,Sulawesi Selatan,Makasar,Wisata Alam,Pantai Akkarena,10000,4.2
75,Sulawesi Selatan,Makasar,Wisata Alam,Pantai Tanjung Layar Putih,5000,4.2
76,Sulawesi Selatan,Makasar,Religi,Masjid 99 Kubah CPI Makassar,0,4.7
77,Sulawesi Selatan,Makasar,Religi,Masjid Terapung Amirul Mukminin,0,4.8
78,Sulawesi Selatan,Makasar,Sejarah,Museum Kota Makassar,0,4.5
79,Sulawesi Selatan,Makasar,Sejarah,La Galigo Museum,3000,4.4
80,Sulawesi Selatan,Makasar,Sejarah,Museum Karaeng Pattingalloang,0,4.4
81,Sulawesi Selatan,Makasar,Sejarah,Museum Balla Lompoa,0,4.5
82,Sulawesi Selatan,Makasar,Religi,Vihara Girinaga,0,4.8
83,Sulawesi Selatan,Makasar,Sejarah,Monumen Mandala Pembebasan Irian Barat,0,4.5
84,Sulawesi Selatan,Makasar,Sejarah,Monumen Korban 40.000 Jiwa,0,4.4
85,Sulawesi Selatan,Makasar,Sejarah,Kompleks Makam Raja-Raja Tallo,0,4.5
86,Sulawesi Selatan,Makasar,Religi,Gereja Katedral ,0,4.9
87,Sulawesi Selatan,Maros,Sejarah,Monumen Cinta Sejati Habibie-Ainun,0,4.6
88,Sulawesi Selatan,Maros,Wisata Alam,Air Terjun Bantimurung,5000,4.5
89,Sulawesi Selatan,Maros,Wisata Alam, Karst Rammang Rammang,10000,4.7
90,Sulawesi Selatan,Maros,Sejarah,Taman Nasional Bantimurung Bulusaraung,5000,4.4
91,Sulawesi Selatan,Maros,Sejarah,Taman Arkeologi Leang Leang,15000,4.6
92,Sulawesi Selatan,Maros,Sejarah,Taman Purbakala Sumpang Bita,5000,4.6
93,Sulawesi Selatan,Barru,Wisata Alam,Air Terjun Celebes Canyon,10000,4.4
94,Sulawesi Selatan,Barru,Wisata Alam,Taman Wisata Bola Pitue,35000,4.3
95,Sulawesi Selatan,Barru,Wisata Alam,Pantai Ujung Batu,5000,4.1
96,Sulawesi Selatan,Barru,Wisata Alam,Dutungan Island,15000,4.5
97,Sulawesi Selatan,Bone,Wisata Alam,Tanjung Pallette,5000,4
98,Sulawesi Selatan,Bone,Wisata Alam,Gua Mampu,2000,4.2
99,Sulawesi Selatan,Sidenreng,Sejarah,Monumen Bambu Runcing Rappang,0,4.4
100,Sulawesi Selatan,Sidenreng,Sejarah,Monumen Ganggawa,0,4.3
101,Sulawesi Selatan,Pinrang,Sejarah,Monumen Lasinrang,0,4.5
102,Sulawesi Selatan,Pinrang,Wisata Alam,Pantai Harapan Ammani,0,4.2
