Place ID;Province;Regency;Category;Name;Price
1;Bali;Denpasar;Alam;Finns Bali Super Fun Pas;300000
2;Bali;Denpasar;Alam;Finns Bali Day Pass;275000
3;Bali;Denpasar;Alam;Waterfall Wanagiri Village;25000
4;Bali;Denpasar;Alam;ATV Bali Ubud by Abiansila Adventure;850000
5;Bali;Denpasar;Alam;Aling-aling Waterfall Attraction Package;150000
6;Bali;Denpasar;Alam;Bali Zoo Tickets;140000
7;Bali;Denpasar;Alam;Bali Bird Park Tickets;140000
8;Bali;Denpasar;Alam;Monkey Forest Ubud Tickets;60000
9;Bali;Denpasar;Alam;Mason Elephant Park Admission - Taro Bali;135000
10;Bali;Denpasar;Alam;Bali Safari Park - International Tourists;646488
11;Bali;Denpasar;Alam;Bali Reptile Park;150000
12;Bali;Denpasar;Alam;TASTA ZOO;100000
13;Bali;Denpasar;Alam;Bali ATV Ride by Bali Best Adventure;650000
14;Bali;Denpasar;Alam;Sunrise Dolphin Trip by Nara Tour & Travel;135000
15;Bali;Denpasar;Alam;Paket Bali Safari & Marne Park + ATV Ride;975000
16;Bali;Denpasar;Alam;Bali ATV Ride Adventure;750000
17;Bali;Denpasar;Alam;Bali ATV Quad Bike By Pertiwi Quad Bike;650000
18;Bali;Denpasar;Alam;TURTLE ISLAND (1 BOAT / 1 HOUR/ 8 PAX);750000
19;Bali;Denpasar;Alam;Spearfishing & Sashimi on Boat;1500000
20;Bali;Denpasar;Alam;TURTLE ISLAND & SNORKLING (1.5 HOUR/ 2 PAX);340000
21;Bali;Denpasar;Alam;Waterbom Bali Tickets;340000
22;Bali;Denpasar;Alam;Toya Devasya Natural Hot Spring Tickets;100000
23;Bali;Denpasar;Alam;Tiket CitraLand Waterpark Denpasar;50000
24;Bali;Denpasar;Alam;Aqualand at Bali Wake Park';250000
25;Bali;Denpasar;Alam;PARASAILING ADVENTURE WATER SPORT (6 MINUTES);750000
26;Bali;Denpasar;Alam;JET SKI WITH ADVENTURE (15 MINUTES);850000
27;Bali;Denpasar;Alam;Rafting Ayung Dewata Ubud;295000
28;Bali;Denpasar;Alam;PAKET WATERSPORT (SEA WALKER, BANANA BOAT & JET SKI/ 2PAX);3200000
29;Bali;Denpasar;Alam;BANANA BOAT WATERSPORT (15 MINUTES/ 2 PAX);425000
30;Bali;Denpasar;Alam;Menyelam Nusa Lembongan;2000000
31;Bali;Denpasar;Alam;PAKET WATERSPORT (DIVING, BANANA BOAT & FLY FISH/ 2 PAX);2750000
